WORD1;WORD2
a book on smth.;Книга о (про) что-то
A.P.;Кормовой перпендикуляр
a/c room;помещение системы кондицион. воздуха
abolish;Отменять, упразднять
abrasive cleaning in sections and shops equipment;оборудование для уборки абразива в секциях и камере
abrasive feeding, returning and separating system;система подачи, возвракта и сепарации абразива
Abrasive flow rate;Расход абразива
Abrasive storage;Склад абразива
Abridging;Укорочение
Abutting;Смежный
Acceleration;Ускорение
acceptability;Защитный слой
acceptance;приемка
acceptance test;приемо-сдаточные испытания
access;доступ
Access hole;Смотровое отверстие, вырез
Access platform;Ремонтная платформа
accessories;"остнаска (не тросы); принадлежности, арматура, вспомогательное оборудование, комплектующие детали"
accommodation;Приспособление, оборудование, жилое помещение, расположение жилых помещений, размещение, установка
accommodation and service spaces;жилые и служебные помещения
Accommodation house;Рубка (надстройка) с жилыми помещениями (?)
Accommodation ladder;Забортный трап
Accompanying document;Сопроводительный документ
Account representative;Консультант по связям с рекламодателями
Accounting;Учет
accounting system;бухгалтерская система
Accreditation;Аккредитация
Accreditation council;Аккредитационный совет
accuracy;Правильность
AC-current;Переменный ток
achievement;достижение
acid;кислота
Acid pickling;Кислотное травление
Acid pickling bath;Ванна кислотного травления
acknowledgement;"подтверждение; официальное заявление; уведовление о получении; благодарность"
ACM (Alarm Control and Monitoring System);Аварийная сигнализация и система мониторинга
Acquisition;Приобретение, что-либо приобретенное
Across;По горизонтали
Act of God;Форс-мажорные обстоятельства
Adapter;адаптор, звукосъемник,надставка, переходная муфта
Adapter sleeve;Фиксирующая втулка
Addendum;приложение, добавление
address of parts to workshop;расцеховка
Adequate;Соответствующий
Adherence;Соблюдение
Adhesion;прилипание, слипание, склеивание, связь, сцепление, спайка
Adjacent structure;Смежная (примыкающая) конструкция
Adjancy both to top die and bed die;Прилегание к пуансону и матрице
Adjustable bolt;Отжимной болт, регулировочный болт
adjustable shelf;выдвижная полка
Adjusting pipe;Забойная труба
Adjusting plate;Установочный лист
adjustment;настройка, регулирование, наладка
Adjustment works;Пуско-наладочные работы
admission;входная плата, подвод
Admittance;Доступ, вход, разрешение на вход, прием в члены
Advance nesting;Предварительный раскрой
advantage;Льготный
advertising act;рекламационный акт
advertising agency;рекламное бюро
advertising bureau;бюро рекламы
Advertising literature;Рекламная литература
advice center;консультационное бюро
Advisable;Целесообразно
Advisory services;Консультативные услуги
affiliation;присоединение
aft;Корма, кормовая часть, кормовой, задний, на корме, в корме, в кормовой части, на корму, в корму, за корму, за кормой, сзади, позади
Aft mast;Кормовая мачта
After edge;Кормовая кромка (листа)
Aftermost;Кормовой, самый задний
agency;бюро
agenda;повестка дня
aging;старение
Air bell;Воздушный пузырь (дефект стекла)
Air blast;Воздушное дутье, струя сжатого воздуха, воздуховод
air bleeder screw;воздушная пробка
Air blowing;Надув воздухом
Air cap;Вентиляционная головка
air cleaning;очистка воздуха
Air collector;воздухосборник
Air distributor;Воздухораспределитель
Air duct;воздуховод
Air engine;"Пневматический двигатель, пневмодвигатель; поршневой компрессор"
Air escape pipe;Воздухоотводная труба
Air grid;Вентиляционная решетка, жалюзи
air inlet;отверстия для притока воздуха
Air intake;Всасывание воздуха, впуск воздуха
Air pressure bar;Шкала давления воздуха (?)
Air receiver;Воздухосборник
air sounding pipe;воздушно-измерительная труба
air trap;воздухоотделитель
Air water bell;Внутренний стол (машины плазменной резки)
air-arc planing;воздушно-дуговая строжка
airblast vacuum recovery system;сооружение для очистки выбросов
air-conditioning;кондиционирование воздуха
Airing;Аэрация
airless spray;окрасочный безвоздушного распыления аппарат
air-receiver;воздухосборник
air-starter;трубостартер
aisle;Проход, коридор
Alarm call panel;Панель сигнального звонка
alignment;центровка, выравнивание
Alignment tool;Центрирующий инструмент
Alkaline detergent;Щелочное моющее средство
All the time;Все время
alleyway;коридор
alligatoring area;площади для автомобилей-амфибий
allocation;распределение
allowance;припуск
alloyed equipment;сжигательное устройство
alteration;переделка
alternator;Альтернатор
Alumina;Оксид алюминия
aluminum;алюминий
Aluminum foil;Алюминевая фольга
amendment in/to;поправка, изменение (к документу)
analysis;анализ
analytical;аналитический
anchor frame;анкерный каркас
Anchor handling winch;Якорная лебедка
Anchor pocket;Якорная ниша
Anchor recess;Якорная ниша
And otherwise;И наоборот
And the like;И тому подобное
anger;бурав, сверло
Angular misalignment;Угловое смещение
annealing;отжиг
anodizing;анодирование
Ante room;Приемная, прихожая, вестибюль, тамбур
antenna;антена
Antifouling coating;Противообрастающее покрытие, необрастающее покрытие
Antifouling system;Система защиты против обрастания
Anti-skid protection insert;Противоскользящая защитная вставка
Anti-spreader chain;Предохранительная (стяжная) цепь
anti-sticking;противопригарность
Apeak;Вертикально, отвесно, стоймя
aperture;проем
apparatus for equipment washing from paint;аппарат для промывки оборудования от краски
appearance;Внешний вид
appendix;приложение, добавление
Apple-pie order;Безупречный порядок
applicability;Применимость, пригодность
application;Просьба, прошение, заявление
Application fee;Заявочная пошлина
appointed;"Назначен;определен"
Appraisal;Оценка, аттестация, апробация, экспертиза
Appropriate;Соответствующий
Apropos;"Что касается, относительно, возвращаясь (к вопросу); кстати, между прочим; своевременный, соответствующий (сути дела)"
arable;сельскохозяйственный
arc welding;шов, полученный дуговой сваркой
Architect ceiling;Архитектурный подволок (?)
arm;рычаг
Armature;Арматура
arrangement;устройство, расположение
Arrangement drawing;Чертеж оборудования, чертеж расположения
arrangements;Мероприятия
Articles of consumption;Расходные материалы
As a consequence;В результате
asbestos;Асбест
Asbestos cloth;Асботкань
ashes;зола
Ashtray;Пепельница
assemble and disassemble furniture;собранная и разобранная мебель
Assembling-welding production;Сборочно-сварочное производство
Assembly;Сборочный узел
Assembly drawing;Монтажный чертеж
Assembly lever;Сборочный рычаг
Assembly lifting eye;Монтажный подъемный рым
assembly network;сетевые графики
Assembly stand;Сборочный стенд
Assembly unit;Узел установки
Assessment;Оценка
Assessment fee;Комиссионный сбор за оценку
Assumption;Предположение, допущение, принятие на себя обязательств, присвоение
Astern;В корму, на корме, назад, позади, за кормой, задним ходом
At discretion;по усмотрению
At option;по усмотрению
At par;По номиналу
At smb's disposal;В чьем-либо распоряжении
At this juncture;В настоящий момент, в настоящее время
atmosphere;атмосфера
atomic-hydrogen weld;шов, полученный атомноводородной сваркой
Attachment device;Крепежное устройство
Attachment point;Узел крепления
Attendant;Обслуживающее лицо
Attending physician;Лечащий врач
attenuator;Аттенюатор, ослабитель, делитель мощности
Attitude position;Пространственное положение
attractiveness;привлекательность
Attribution;"Приписывание, отнесение, атрибуция; власть, компетенция"
authorities;ведомство, власти
automated mechanism;автоматика (механизмы)
automatic butt weld;стыковой шов, полученный автоматической сваркой
automatic weld;шов, полученный автоматической сваркой
automatized;автоматизированный
Aux. D.G. set;Установка вспомогательного дизель-генератора
auxiliary device;вспомогательный прибор (устройство)
Auxiliary production;Вспомогательное производство
Availability;Пригодность, годность
averaging;усреднение
Avertent flooding;Преднамеренное затопление
awning;Навес
Axial direction;Направление вдоль оси
Axial displacement;Осевое смещение
Axial run-out;Осевое биение
axis;ось
axis grip effort in derrick;осевое сжимающее усилие в стреле
Axle base;Межосевое расстояние
azimuth column;азимутная колона
Azimuth thruster unit;Азимутное подруливающее устройство
B;
Back flushing;Очистка (системы охлаждения) противотоком
back gouging;выдалбливание заднее
back stroke;обратный ход, задний ход
Back to back;Один к одному
Back to back letter of credit;Компенсационный аккредитив
Back up insulation;Внутренняя поверхность изоляции
Backbone;Суть, сущность, основание
backing;Опора, обратная сторона, основа, подкладка, подложка
Backing arrangement;Устройство подкладки
backing bar;подкладная полоса
Backing block;прокладка
Backing layer;Защитный слой
Backing material;Материал подложки
Backing ring;Подкладное кольцо
